                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   76374239 |   48456927 |   48805451 |   48407841 |   48616630 |   48369694 |   48035005 |   48623177 |   48336050 |   47549227 |   48603306 |   46869095 |   47832977 |   48234718 |   48237781 |          0
  Cycles                             |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910 |   67892910
  IPC                                |       1.12 |       0.71 |       0.72 |       0.71 |       0.72 |       0.71 |       0.71 |       0.72 |       0.71 |       0.70 |       0.72 |       0.69 |       0.70 |       0.71 |       0.71 |       0.00
  Time (ns)                          |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651 |   25523651
  Idle time (ns)                     |   12352156 |   13986034 |   13994284 |   14191981 |   14060724 |   14206397 |   14174601 |   14062191 |   14196948 |   14266247 |   14075824 |   14329087 |   14299596 |   14118511 |   14221753 |   25523651
  Idle time (%)                      |      48.4% |      54.8% |      54.8% |      55.6% |      55.1% |      55.7% |      55.5% |      55.1% |      55.6% |      55.9% |      55.1% |      56.1% |      56.0% |      55.3% |      55.7% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4283614 |    4002403 |    4031899 |    4000959 |    4017141 |    3998882 |    3968512 |    4018044 |    3994490 |    3929418 |    4016201 |    3869316 |    3953509 |    3985043 |    3986877 |          0
  num incorrect                      |      37302 |     111290 |     110566 |     106445 |     108844 |     105574 |     107340 |     108248 |     105409 |     105779 |     108124 |     108170 |     104551 |     108618 |     105198 |          0
  misprediction rate                 |      0.86% |      2.71% |      2.67% |      2.59% |      2.64% |      2.57% |      2.63% |      2.62% |      2.57% |      2.62% |      2.62% |      2.72% |      2.58% |      2.65% |      2.57% |      0.00%
  mpki                               |       0.49 |       2.30 |       2.27 |       2.20 |       2.24 |       2.18 |       2.23 |       2.23 |       2.18 |       2.22 |       2.22 |       2.31 |       2.19 |       2.25 |       2.18 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    7318381 |    4298106 |    4320668 |    4267487 |    4294807 |    4261140 |    4242604 |    4295828 |    4259951 |    4201210 |    4294507 |    4162716 |    4215404 |    4269999 |    4250667 |          0
    num misses                       |        111 |         22 |         22 |         24 |         22 |         22 |         23 |         23 |         23 |         22 |         22 |         22 |         23 |         22 |         23 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   22045677 |   11973306 |   12052381 |   11936223 |   11995634 |   11923635 |   11850916 |   11996473 |   11917740 |   11732046 |   11994501 |   11586939 |   11793419 |   11911971 |   11895252 |          0
